open,high,low,close,volume,vwap,timestamp,transactions
265.23,265.39,265.155,265.39,25600.0,265.2583,2024-01-16 16:45:00,803
265.4,265.4,265.14,265.14,32304.0,265.2415,2024-01-16 16:50:00,957
265.175,265.305,265.06,265.19,31764.0,265.1601,2024-01-16 16:55:00,934
265.18,265.26,265.03,265.07,34270.0,265.138,2024-01-16 17:00:00,967
265.04,265.21,264.88,264.92,26833.0,265.0399,2024-01-16 17:05:00,875
264.95,265.12,264.85,264.96,58422.0,264.995,2024-01-16 17:10:00,1238
264.95,265.06,264.78,264.86,39640.0,264.9552,2024-01-16 17:15:00,1072
264.8778,265.07,264.78,264.95,22800.0,264.9157,2024-01-16 17:20:00,733
264.9445,265.03,264.81,264.81,23468.0,264.9334,2024-01-16 17:25:00,828
264.82,264.82,264.53,264.6329,30970.0,264.6497,2024-01-16 17:30:00,852
264.625,264.79,264.625,264.66,22793.0,264.7145,2024-01-16 17:35:00,685
264.65,264.745,264.61,264.68,18478.0,264.692,2024-01-16 17:40:00,622
264.68,264.75,264.63,264.675,23477.0,264.6938,2024-01-16 17:45:00,751
264.69,264.85,264.69,264.85,22501.0,264.7755,2024-01-16 17:50:00,701
264.82,264.82,264.565,264.59,24098.0,264.6717,2024-01-16 17:55:00,694
264.6,264.7794,264.545,264.73,30483.0,264.6932,2024-01-16 18:00:00,828
264.73,264.78,264.665,264.71,26043.0,264.7269,2024-01-16 18:05:00,703
264.7393,264.902,264.7,264.902,17449.0,264.7902,2024-01-16 18:10:00,615
264.92,265.1175,264.88,265.1,42085.0,265.0081,2024-01-16 18:15:00,1110
265.15,265.225,264.89,265.115,22341.0,265.0795,2024-01-16 18:20:00,708
265.12,265.23,265.01,265.055,54678.0,265.0743,2024-01-16 18:25:00,1044
265.08,265.13,264.8957,265.03,47817.0,264.9644,2024-01-16 18:30:00,1059
265.01,265.0343,264.6306,264.67,35624.0,264.8772,2024-01-16 18:35:00,988
264.66,264.8,264.62,264.735,29000.0,264.7347,2024-01-16 18:40:00,843
264.7,264.71,264.5951,264.64,21036.0,264.6678,2024-01-16 18:45:00,732
264.67,264.6798,264.22,264.26,35852.0,264.4595,2024-01-16 18:50:00,912
264.275,264.47,264.25,264.465,19099.0,264.3659,2024-01-16 18:55:00,621
264.49,264.5,264.0801,264.14,34172.0,264.2681,2024-01-16 19:00:00,949
264.12,264.27,264.12,264.235,30861.0,264.2081,2024-01-16 19:05:00,897
264.23,264.42,264.23,264.31,46053.0,264.3271,2024-01-16 19:10:00,1237
